Model,CV_macroF1,Test_macroF1,Test_Acc,Test_macroAUC
GradBoost,0.8726371343405471,0.8076237818402981,0.7935943060498221,0.9212016178105912
RandomForest,0.9189283352809833,0.7962908592679585,0.7900355871886121,0.9242115481890743
LDA,0.8965367792790169,0.7903198114316563,0.7900355871886121,0.9283581850854425
DecisionTree,0.8038229574863609,0.7880226884953998,0.7793594306049823,0.8692582650531641
LogReg,0.8725966717285172,0.7603217108816261,0.7473309608540926,0.9183956360736294
RBF_SVM,0.9249699286326578,0.7585631677650785,0.7508896797153025,0.9209443030148599
LinearSVM,0.8872581198580614,0.757998992657844,0.7366548042704626,0.9059605209793379
KNN,0.8941307782135717,0.7479573907313859,0.7402135231316725,0.8598321202465452
QDA,0.8898656770749067,0.7432150700492237,0.7402135231316725,0.9135241616751701
GaussianNB,0.9460571778340696,0.7224861805738352,0.7224199288256228,0.9174925084673575
Baseline(최빈),,0.12332439678284182,0.3274021352313167,0.5
